Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_0805_2012Metric",123.230000,-117.850000,-90.000000,top
"C2","22uF","C_1206_3216Metric",131.865000,-82.110000,0.000000,top
"C3","0.1u","C_0603_1608Metric",127.815000,-81.700000,180.000000,top
"C4","0.1u","C_0603_1608Metric",123.010000,-83.410000,0.000000,top
"C5","1000uF","CP_Radial_D8.0mm_P5.00mm",131.890000,-131.622651,90.000000,top
"C6","22uF","C_1206_3216Metric",128.480000,-86.240000,90.000000,top
"C7","22uF","C_1206_3216Metric",134.740000,-84.830000,0.000000,top
"J1","IR_Breakout","IR_Breakout",144.934500,-116.879300,-90.000000,top
"J2","INMP441_Breakout","INMP441_Breakout",132.700000,-102.290000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",138.000000,-132.220000,90.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",123.210000,-132.220000,90.000000,top
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",143.050000,-62.200000,0.000000,top
"Q1","2N7002","SOT-23",139.230000,-84.627500,90.000000,top
"R1","10k/5%","R_0603_1608Metric",123.010000,-81.700000,180.000000,top
"R2","10k/5%","R_0603_1608Metric",139.200000,-81.747500,0.000000,top
"R3","330R","R_0603_1608Metric",139.090000,-89.630000,0.000000,top
"R4","10k/5%","R_0603_1608Metric",139.100000,-88.000000,0.000000,top
"SW1","TS-1187A-B-A-B","TS-1187A-B-A-B",124.180000,-88.210000,-90.000000,top
"U1","ESP32-WROOM-32E","ESP32-WROOM-32E",131.325000,-68.705000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",133.370000,-90.650000,-90.000000,top
